value	icv	crb	lobes	basalGanglia	subcortical	midline	cerebralCortex	nonbrain	hemi	tissue	renum
3023	2	1	1	0	0	0	34	0	1	2	128
3024	2	1	1	0	0	0	37	0	1	2	129
3025	2	1	3	0	0	0	38	0	1	2	130
3026	2	1	1	0	0	0	39	0	1	2	131
3027	2	1	1	0	0	0	40	0	1	2	132
3028	2	1	1	0	0	0	45	0	1	2	133
3029	2	1	3	0	0	0	47	0	1	2	134
3030	2	1	2	0	0	0	48	0	1	2	135
3031	2	1	3	0	0	0	50	0	1	2	136
3032	2	1	1	0	0	0	7	0	1	2	137
3033	2	1	2	0	0	0	51	0	1	2	138
3034	2	1	2	0	0	0	52	0	1	2	139
3035	2	1	1	0	0	0	12	0	1	2	140
4001	2	1	2	0	0	0	1	0	2	2	141
4002	2	1	1	0	0	0	2	0	2	2	142
4003	2	1	1	0	0	0	3	0	2	2	143
4005	2	1	4	0	0	0	4	0	2	2	144
4006	2	1	2	0	0	0	5	0	2	2	145
4007	2	1	2	0	0	0	8	0	2	2	146
4008	2	1	3	0	0	0	10	0	2	2	147
4009	2	1	2	0	0	0	11	0	2	2	148
4010	2	1	3	0	0	0	13	0	2	2	149
4011	2	1	4	0	0	0	14	0	2	2	150
4012	2	1	1	0	0	0	15	0	2	2	151
4013	2	1	4	0	0	0	16	0	2	2	152
4014	2	1	1	0	0	0	18	0	2	2	153
4015	2	1	2	0	0	0	22	0	2	2	154
4016	2	1	2	0	0	0	26	0	2	2	155
4017	2	1	1	0	0	0	25	0	2	2	156
4018	2	1	1	0	0	0	28	0	2	2	157
4019	2	1	1	0	0	0	29	0	2	2	158
4020	2	1	1	0	0	0	30	0	2	2	159
4021	2	1	4	0	0	0	31	0	2	2	160
4022	2	1	3	0	0	0	33	0	2	2	161
4023	2	1	1	0	0	0	34	0	2	2	162
4024	2	1	1	0	0	0	37	0	2	2	163
4025	2	1	3	0	0	0	38	0	2	2	164
4026	2	1	1	0	0	0	39	0	2	2	165
4027	2	1	1	0	0	0	40	0	2	2	166
4028	2	1	1	0	0	0	45	0	2	2	167
4029	2	1	3	0	0	0	47	0	2	2	168
4030	2	1	2	0	0	0	48	0	2	2	169
4031	2	1	3	0	0	0	50	0	2	2	170
4032	2	1	1	0	0	0	7	0	2	2	171
4033	2	1	2	0	0	0	51	0	2	2	172
4034	2	1	2	0	0	0	52	0	2	2	173
4035	2	1	1	0	0	0	12	0	2	2	174
5001	2	1	0	0	0	0	54	0	1	2	175
5002	2	1	0	0	0	0	54	0	2	2	176
15000	1	0	0	0	0	0	0	12	0	0	177
15001	1	0	0	0	0	0	0	13	0	0	178
15071	2	2	0	0	0	2	0	0	0	1	179
15072	2	2	0	0	0	2	0	0	0	1	180
15073	2	2	0	0	0	2	0	0	0	1	181
15140	2	1	1	0	0	0	17	0	2	1	182
15141	2	1	1	0	0	0	17	0	1	1	183
15142	2	1	1	0	0	0	20	0	2	1	184
15143	2	1	1	0	0	0	20	0	1	1	185
15144	2	1	4	0	0	0	21	0	2	1	186
15145	2	1	4	0	0	0	21	0	1	1	187
15150	2	1	1	0	0	0	19	0	2	1	188
15151	2	1	1	0	0	0	19	0	1	1	189
15156	2	1	4	0	0	0	23	0	2	1	190
15157	2	1	4	0	0	0	23	0	1	1	191
15160	2	1	4	0	0	0	9	0	2	1	192
15161	2	1	4	0	0	0	9	0	1	1	193
15162	2	1	1	0	0	0	6	0	2	1	194
15163	2	1	1	0	0	0	6	0	1	1	195
15164	2	1	1	0	0	0	24	0	2	1	196
15165	2	1	1	0	0	0	24	0	1	1	197
15172	2	1	2	0	0	0	35	0	2	1	198
15173	2	1	2	0	0	0	35	0	1	1	199
15174	2	1	3	0	0	0	27	0	2	1	200
15175	2	1	3	0	0	0	27	0	1	1	201
15178	2	1	1	0	0	0	36	0	2	1	202
15179	2	1	1	0	0	0	36	0	1	1	203
15184	2	1	2	0	0	0	32	0	2	1	204
15185	2	1	2	0	0	0	32	0	1	1	205
15190	2	1	1	0	0	0	41	0	2	1	206
15191	2	1	1	0	0	0	41	0	1	1	207
15192	2	1	1	0	0	0	49	0	2	1	208
15193	2	1	1	0	0	0	49	0	1	1	209
15194	2	1	3	0	0	0	42	0	2	1	210
15195	2	1	3	0	0	0	42	0	1	1	211
15200	2	1	2	0	0	0	43	0	2	1	212
15201	2	1	2	0	0	0	43	0	1	1	213
