value label	orig_label	label_short	label_short_hemi	hemisphere	tissue	major_compartment	compartment	roi_order	roi_group	label_group
219	bed_nucleus_stria_terminalis_right	176	BST	BST_right	right	gm	cerebrum	amygdala extended	219	54	amygdala extended right
220	basal_forebrain_right	52	VP	VP_right	right	gm	cerebrum	septal nuclei	220	55	septal nuclei right
221	medial_septum_right	53	SEPTm	SEPTm_right	right	gm	cerebrum	septal nuclei	221	55	septal nuclei right
222	lateral_septum_right	207	SEPTl	SEPTl_right	right	gm	cerebrum	septal nuclei	222	55	septal nuclei right
223	thalamus_right	204	Thal	Thal_right	right	gm	cerebrum	thalamus	223	56	thalamus right
224	mammilary_body_right	161	MB	MB_right	right	gm	cerebrum	hypothalamus	224	57	hypothalamus right
225	hypothalamus_right	250	Hypo	Hypo_right	right	gm	cerebrum	hypothalamus	225	57	hypothalamus right
226	medial_preoptic_nucleus_right	354	MPA	MPA_right	right	gm	cerebrum	hypothalamus	226	57	hypothalamus right
227	cingulum_right	56	cg	cg_right	right	wm	cerebrum	wm	227	58	wm right
228	corpus_callosum_right	8	cc	cc_right	right	wm	cerebrum	wm	228	58	wm right
229	anterior_commissure_pars_posterior_right	23	acp	acp_right	right	wm	cerebrum	wm	230	58	wm right
230	retroflexus_fasciculus_right	25	frf	frf_right	right	wm	cerebrum	wm	231	58	wm right
231	stria_terminalis_right	59	st	st_right	right	wm	cerebrum	wm	232	58	wm right
232	habenular_commissure_right	99	hbc	hbc_right	right	wm	cerebrum	wm	233	58	wm right
233	internal_capsule_right	112	ic	ic_right	right	wm	cerebrum	wm	234	58	wm right
234	cerebral_peduncle_right	114	cxp	cxp_right	right	wm	cerebrum	wm	235	58	wm right
235	anterior_commissure_pars_anterior_right	115	aca	aca_right	right	wm	cerebrum	wm	236	58	wm right
236	fornix_right	122	f	f_right	right	wm	cerebrum	wm	237	58	wm right
237	mammilothalamic_tract_right	210	mthal	mthal_right	right	wm	cerebrum	wm	238	58	wm right
238	fimbria_right	211	fi	fi_right	right	wm	cerebrum	wm	239	58	wm right
239	optic_tract_right	216	opt	opt_right	right	wm	cerebrum	wm	240	58	wm right
240	stria_medullaris_right	225	SM	SM_right	right	wm	cerebrum	wm	241	58	wm right
241	inferior_colliculus_left	43	IC	IC_left	left	gm	midbrain	midbrain	242	59	midbrain left
242	superior_colliculus_left	109	SC	SC_left	left	gm	midbrain	midbrain	243	59	midbrain left
243	periaqueductal_gray	10	PAG	PAG	mid	gm	midbrain	midbrain	244	59	midbrain mid
244	midbrain_gm	194	MB	MB	mid	gm	midbrain	midbrain	245	59	midbrain mid
245	ventral_tegmental_decussation	156	VTd	VTd	mid	wm	midbrain	midbrain	246	59	midbrain mid
246	superior_colliculus_right	9	SC	SC_right	right	gm	midbrain	midbrain	247	59	midbrain right
247	inferior_colliculus_right	143	IC	IC_right	right	gm	midbrain	midbrain	248	59	midbrain right
248	cerebellum_lobule6_simple_left	91	Crblm6s	Crblm6s_left_gm	left	gm	cerebellum	cerebellum gm	249	60	cerebellum gm left
249	cerebellum_lobule7_crus2_ansiform_left	93	Crblm7	Crblm7_left_gm	left	gm	cerebellum	cerebellum gm	250	60	cerebellum gm left
250	cerebellum_lobule8_copula_left	96	Crblm8	Crblm8_left_gm	left	gm	cerebellum	cerebellum gm	251	60	cerebellum gm left
251	cerebellum_paraflocculus_left	98	PFL	PFL_left_gm	left	gm	cerebellum	cerebellum gm	252	60	cerebellum gm left
252	cerebellum_anterior_lobule_4_5_left	148	Crblm45	Crblm45_left_gm	left	gm	cerebellum	cerebellum gm	253	60	cerebellum gm left
253	cerebellum_flocculus_left	197	CrblmFL	CrblmFL_left_gm	left	gm	cerebellum	cerebellum gm	254	60	cerebellum gm left
254	cerebellum_lobule7_paramedian_left	200	Crblm7pm	Crblm7pm_left_gm	left	gm	cerebellum	cerebellum gm	255	60	cerebellum gm left
255	cerebellum_lobule6_crus1_ansiform_left	192	Crblm6	Crblm6_left_gm	left	gm	cerebellum	cerebellum gm	256	60	cerebellum gm left
256	cerebellum_interpositus_nucleus_left	3	INTN	INTN_left	left	gm	cerebellum	cerebellum nuclei	257	61	cerebellum nuclei left
257	cerebellum_dentate_nucleus_left	201	DN	DN_left	left	gm	cerebellum	cerebellum nuclei	258	61	cerebellum nuclei left
258	cerebellum_dentate_nucleus_left	206	FN	FN_left	left	gm	cerebellum	cerebellum nuclei	259	61	cerebellum nuclei left
259	cerebellum_anterior_lobule4_5_left	31	Crblm45	Crblm45_left_wm	left	wm	cerebellum	cerebellum wm	260	62	cerebellum wm left
260	cerebellum_lobule6_crus1_ansiform_left	170	Crblm6	Crblm6_left_wm	left	wm	cerebellum	cerebellum wm	261	62	cerebellum wm left
261	cerebellum_flocculus_left	177	CrblmFL	CrblmFL_left_wm	left	wm	cerebellum	cerebellum wm	262	62	cerebellum wm left
262	cerebellum_crus2_paramedian_trunk_left	195	CrblmCrus2pmtr	CrblmCrus2pmtr_left	left	wm	cerebellum	cerebellum wm	263	62	cerebellum wm left
263	cerebellum_paraflocculus_left	243	PFL	PFL_left_wm	left	wm	cerebellum	cerebellum wm	264	62	cerebellum wm left
264	cerebellum_lobule8_copula_left	244	Crblm8	Crblm8_left_wm	left	wm	cerebellum	cerebellum wm	265	62	cerebellum wm left
265	cerebellum_crus1_simple_trunk_left	246	CrblmCrus1str	CrblmCrus1str_left	left	wm	cerebellum	cerebellum wm	266	62	cerebellum wm left
266	cerebellum_lobule7_paramedian_left	248	Crblm7pm	Crblm7pm_left_wm	left	wm	cerebellum	cerebellum wm	267	62	cerebellum wm left
267	cerebellum_lobule7_crus2_ansiform_left	249	Crblm7	Crblm7_left_wm	left	wm	cerebellum	cerebellum wm	268	62	cerebellum wm left
268	cerebellum_lobule6_simple_left	251	Crblm6s	Crblm6s_left_wm	left	wm	cerebellum	cerebellum wm	269	62	cerebellum wm left
269	cingulum_left	231	cg	cg_left	left	wm	cerebellum	cerebellum wm	270	62	cerebellum wm left
270	superior_cerebellar_peduncle_left	222	scp	scp_left	left	wm	cerebellum	wm	271	63	wm left
271	inferior_cerebellar_peduncle_left	223	icp	icp_left	left	wm	cerebellum	wm	272	63	wm left
272	middle_cerebellar_peduncle_left	245	mcp	mcp_left	left	wm	cerebellum	wm	273	63	wm left
273	cerebellum_lobule1_2_lingula	32	Crblm12l	Crblm12l	mid	gm	cerebellum	cerebellum gm	274	64	cerebellum gm mid
274	cerebellum_lobule4_5_culmen	34	Crblm45c	Crblm45c	mid	gm	cerebellum	cerebellum gm	275	64	cerebellum gm mid
275	cerebellum_lobule6_declive	36	Crblm6d	Crblm6d	mid	gm	cerebellum	cerebellum gm	276	64	cerebellum gm mid
276	cerebellum_lobule8_pyramis	38	Crblm8p	Crblm8p_gm	mid	gm	cerebellum	cerebellum gm	277	64	cerebellum gm mid
277	cerebellum_lobule10_nodulus	40	Crblm10n	Crblm10n_gm	mid	gm	cerebellum	cerebellum gm	278	64	cerebellum gm mid
278	cerebellum_lobule3_central_dorsal	233	Crblm3cd	Crblm3cd_gm	mid	gm	cerebellum	cerebellum gm	279	64	cerebellum gm mid
279	cerebellum_lobule7_tuber	237	Crblm7t	Crblm7t	mid	gm	cerebellum	cerebellum gm	280	64	cerebellum gm mid
280	cerebellum_lobule9_uvula	239	Crblm9u	Crblm9u_gm	mid	gm	cerebellum	cerebellum gm	281	64	cerebellum gm mid
281	cerebellum_lobule3_central_dorsal	33	Crblm3cd	Crblm3cd_wm	mid	wm	cerebellum	cerebellum wm	282	65	cerebellum wm mid
282	cerebellum_arbor_vitae_trunk	47	CrblmAVtr	CrblmAVtr	mid	wm	cerebellum	cerebellum wm	283	65	cerebellum wm mid
283	cerebellum_lobule9_uvula	139	Crblm9u	Crblm9u_wm	mid	wm	cerebellum	cerebellum wm	284	65	cerebellum wm mid
284	cerebellum_lobule1_2	232	Crblm12	Crblm12	mid	wm	cerebellum	cerebellum wm	285	65	cerebellum wm mid
285	cerebellum_lobule4_5	234	Crblm45	Crblm45	mid	wm	cerebellum	cerebellum wm	286	65	cerebellum wm mid
286	cerebellum_lobule6_7	236	Crblm67	Crblm67	mid	wm	cerebellum	cerebellum wm	287	65	cerebellum wm mid
287	cerebellum_lobule8_pyramis	238	Crblm8p	Crblm8p_wm	mid	wm	cerebellum	cerebellum wm	288	65	cerebellum wm mid
288	cerebellum_lobule10_nodulus	252	Crblm10n	Crblm10n_wm	mid	wm	cerebellum	cerebellum wm	289	65	cerebellum wm mid
289	cerebellum_lobule1_3_trunk	253	Crblm13tr	Crblm13tr	mid	wm	cerebellum	cerebellum wm	290	65	cerebellum wm mid
290	cerebellum_lobule6_8_trunk	254	Crblm68tr	Crblm68tr	mid	wm	cerebellum	cerebellum wm	291	65	cerebellum wm mid
291	cerebellum_anterior_lobule4_5_right	90	Crblm45	Crblm45_right_gm	right	gm	cerebellum	cerebellum gm	292	66	cerebellum gm right
292	cerebellum_lobule6_crus1_ansiform_right	92	Crblm6	Crblm6_right_gm	right	gm	cerebellum	cerebellum gm	293	66	cerebellum gm right
293	cerebellum_lobule7_paramedian_right	94	Crblm7pm	Crblm7pm_right_gm	right	gm	cerebellum	cerebellum gm	294	66	cerebellum gm right
294	cerebellum_flocculus_right	97	CrblmFL	CrblmFL_right_gm	right	gm	cerebellum	cerebellum gm	295	66	cerebellum gm right
295	cerebellum_lobule8_copula_right	196	Crblm8	Crblm8_right_gm	right	gm	cerebellum	cerebellum gm	296	66	cerebellum gm right
296	cerebellum_paraflocculus_right	198	PFL	PFL_right_gm	right	gm	cerebellum	cerebellum gm	297	66	cerebellum gm right
297	cerebellum_lobule6_simple_right	191	Crblm6s	Crblm6s_right_gm	right	gm	cerebellum	cerebellum gm	298	66	cerebellum gm right
298	cerebellum_lobule7_crus2_ansiform_right	193	Crblm7	Crblm7_right_gm	right	gm	cerebellum	cerebellum gm	299	66	cerebellum gm right
299	cerebellum_dentate_nucleus_right	1	DN	DN_right	right	gm	cerebellum	cerebellum nuclei	300	67	cerebellum nuclei right
300	cerebellum_fastigial_nucleus_right	15	FN	FN_right	right	gm	cerebellum	cerebellum nuclei	301	67	cerebellum nuclei right
301	cerebellum_interpositus_nucleus_right	203	INTN	INTN_right	right	gm	cerebellum	cerebellum nuclei	302	67	cerebellum nuclei right
302	cerebellum_anterior_lobule4_5_right	21	Crblm45	Crblm45_right_wm	right	wm	cerebellum	cerebellum wm	303	68	cerebellum wm right
303	cerebellum_flocculus_right	167	CrblmFL	CrblmFL_right_wm	right	wm	cerebellum	cerebellum wm	304	68	cerebellum wm right
304	cerebellum_crus2_paramedian_trunk_right	175	CrblmCrus2pmtr	CrblmCrus2pmtr_right	right	wm	cerebellum	cerebellum wm	305	68	cerebellum wm right
305	cerebellum_paraflocculus_right	183	PFL	PFL_right_wm	right	wm	cerebellum	cerebellum wm	306	68	cerebellum wm right
306	cerebellum_lobule6_crus1_ansiform_right	220	Crblm6	Crblm6_right_wm	right	wm	cerebellum	cerebellum wm	307	68	cerebellum wm right
307	cerebellum_lobule8_copula_right	224	Crblm8	Crblm8_right_wm	right	wm	cerebellum	cerebellum wm	308	68	cerebellum wm right
308	cerebellum_crus1_simple_trunk_right	226	CrblmCrus1str	CrblmCrus1str_right	right	wm	cerebellum	cerebellum wm	309	68	cerebellum wm right
309	cerebellum_lobule7_paramedian_right	228	Crblm7pm	Crblm7pm_right_wm	right	wm	cerebellum	cerebellum wm	310	68	cerebellum wm right
310	cerebellum_lobule7_crus2_ansiform_right	229	Crblm7	Crblm7_right_wm	right	wm	cerebellum	cerebellum wm	311	68	cerebellum wm right
311	cerebellum_lobule6_simple_right	241	Crblm6s	Crblm6s_right_wm	right	wm	cerebellum	cerebellum wm	312	68	cerebellum wm right
312	middle_cerebellar_peduncle_right	45	mcp	mcp_right	right	wm	cerebellum	wm	313	69	wm right
313	inferior_cerebellar_peduncle_right	123	icp	icp_right	right	wm	cerebellum	wm	314	69	wm right
314	superior_cerebellar_peduncle_right	242	scp	scp_right	right	wm	cerebellum	wm	315	69	wm right
315	pons	187	PONS	PONS	mid	gm	brainstem	pons	316	70	pons mid
316	pontine_reticular_nucleus_left	185	PRN	PRN_left	left	gm	brainstem	pons	317	70	pons left
317	pontine_reticular_nucleus_right	85	PRN	PRN_right	right	gm	brainstem	pons	318	70	pons right
318	cuneate_nucleus_left	168	CU	CU_left	left	gm	brainstem	brainstem	319	71	brainstem left
319	olivary_complex_inferior_left	213	IO	IO_left	left	gm	brainstem	brainstem	320	71	brainstem left
320	olivary_complex_superior_left	214	SO	SO_left	left	gm	brainstem	brainstem	321	71	brainstem left
321	corticospinal_tract_left	18	csc	csc_left	left	wm	brainstem	wm	322	72	wm left
322	medial_lemniscus_left	120	ml	ml_left	left	wm	brainstem	wm	323	72	wm left
323	facial_nerve_left	219	7n	7n_left	left	wm	brainstem	wm	324	72	wm left
324	interpeduncular_nucleus	157	IP	IP	mid	gm	brainstem	brainstem	325	73	brainstem mid
325	medulla	174	M	M	mid	gm	brainstem	brainstem	326	73	brainstem mid
326	olivary_complex_inferior_right	113	IO	IO_right	right	gm	brainstem	brainstem	327	74	brainstem right
327	olivary_complex_superior_right	124	SO	SO_right	right	gm	brainstem	brainstem	328	74	brainstem right
328	cuneate_nucleus_right	166	CU	CU_right	right	gm	brainstem	brainstem	329	74	brainstem right
329	corticospinal_tract_right	218	csc	csc_right	right	wm	brainstem	wm	330	75	wm right
330	medial_lemniscus_right	20	ml	ml_right	right	wm	brainstem	wm	331	75	wm right
331	facial_nerve_right	19	7n	7n_right	right	wm	brainstem	wm	332	75	wm right
332	lateral_ventricle_left	77	LV	LV_left	left	csf	nonbrain	csf	333	76	csf left
333	ventricle_4	118	4V	4V	mid	csf	nonbrain	csf	334	76	csf mid
334	cerebral_aqueduct	119	Aq	Aq	mid	csf	nonbrain	csf	335	76	csf mid
335	ventricle_3	146	V3	V3	mid	csf	nonbrain	csf	336	76	csf mid
336	lateral_ventricle_right	57	LV	LV_right	right	csf	nonbrain	csf	337	76	csf right

