value,label
1,l_crblm_1-2
2,l_crblm_3
3,l_crblm_4
4,l_crblm_5
5,l_crblm_6
6,l_crblm_crus1
7,l_crblm_crus2
8,l_crblm_7b
9,l_crblm_8a
10,l_crblm_8b
11,l_crblm_9
12,l_crblm_10
13,l_crblm_cm
101,r_crblm_1-2
102,r_crblm_3
103,r_crblm_4
104,r_crblm_5
105,r_crblm_6
106,r_crblm_crus1
107,r_crblm_crus2
108,r_crblm_7b
109,r_crblm_8a
110,r_crblm_8b
111,r_crblm_9
112,r_crblm_10
113,r_crblm_cm
